source,author,title,description,url,urlToImage,publishedAt,content,text,text_cleaned,sentiment,sentiment_label,confidence
"{'id': 'wired', 'name': 'Wired'}",Will Knight,"Under Trump, AI Scientists Are Told to Remove ‘Ideological Bias’ From Powerful Models",A directive from the National Institute of Standards and Technology eliminates mention of “AI safety” and “AI fairness.”,https://www.wired.com/story/ai-safety-institute-new-directive-america-first/,"https://media.wired.com/photos/67c77508ad19f713de02a563/191:100/w_1280,c_limit/trump-pointing-2202608030.jpg",2025-03-14T23:29:46Z,The National Institute of Standards and Technology (NIST) has issued new instructions to scientists that partner with the US Artificial Intelligence Safety Institute (AISI) that eliminate mention of … [+3395 chars],"Under Trump, AI Scientists Are Told to Remove ‘Ideological Bias’ From Powerful Models A directive from the National Institute of Standards and Technology eliminates mention of “AI safety” and “AI fairness.”",trump ai scientist told remove ideological bias powerful model directive national institute standard technology eliminates mention ai safety ai fairness,0,Bad News,0.6363581947426435
"{'id': None, 'name': 'Gizmodo.com'}",AJ Dellinger,Google Is Developing Technology to Deliver Internet Via Light Bridges,Taara is the latest moonshot out of Alphabet’s X lab.,https://gizmodo.com/google-is-developing-technology-to-deliver-internet-via-light-bridges-2000570215,https://gizmodo.com/app/uploads/2024/09/Google.jpg,2025-02-28T21:40:09Z,"Google just had a lightbulb moment, and it might move internet access out of the (literal) dark ages. Over at the company’s moonshot factory X, researchers have developed a chip that they believe sho… [+2742 chars]",Google Is Developing Technology to Deliver Internet Via Light Bridges Taara is the latest moonshot out of Alphabet’s X lab.,google developing technology deliver internet via light bridge taara latest moonshot alphabet lab,0,Bad News,0.83569000300475
"{'id': 'wired', 'name': 'Wired'}",Alden Wicker,The World Is in a Polyester Crisis. One Company Is Trying to Recycle a Way Out,The European company Reju may have developed the polyester recycling technology the textile industry needs. The question is whether the world is ready for it.,https://www.wired.com/story/reju-polyester-recycling/,"https://media.wired.com/photos/67b60d747c5f6923e99e93aa/191:100/w_1280,c_limit/reju4.jpg",2025-02-21T12:00:00Z,"Im on an overnight flight from New York to Frankfurt, Germany, and the accoutrements given to me in business class have a sustainable sheen. Both the polyester blanket and polyester flight kit proudl… [+3048 chars]",The World Is in a Polyester Crisis. One Company Is Trying to Recycle a Way Out The European company Reju may have developed the polyester recycling technology the textile industry needs. The question is whether the world is ready for it.,world polyester crisis one company trying recycle way european company reju may developed polyester recycling technology textile industry need question whether world ready,0,Bad News,0.5420761527225944
"{'id': 'the-verge', 'name': 'The Verge'}",Sean Hollister,Hope you weren’t planning to play PhysX games on Nvidia’s new 50-series GPUs,"Remember PhysX, the GPU-accelerated technology that let games realistically simulate destructible cloth, shattering glass, moving liquids, smoke, fog, and other particle effects? It only ever got deployed in a few dozen games — but with PhysX turned on, those…",https://www.theverge.com/news/615768/nvidia-rtx-5090-5080-5070-drop-physx-support-32-bit,"https://platform.theverge.com/wp-content/uploads/sites/2/2025/02/nvidia-way-meant-to-be-played.jpg?quality=90&strip=all&crop=3.4,7.8890447979368,95.4,74.921765089356",2025-02-19T20:40:31Z,"Nvidias new video cards drop support for 32-bit CUDA applications, including PhysX.
Nvidias new video cards drop support for 32-bit CUDA applications, including PhysX.
Remember PhysX, the GPU-accel… [+2812 chars]","Hope you weren’t planning to play PhysX games on Nvidia’s new 50-series GPUs Remember PhysX, the GPU-accelerated technology that let games realistically simulate destructible cloth, shattering glass, moving liquids, smoke, fog, and other particle effects? It only ever got deployed in a few dozen games — but with PhysX turned on, those…",hope werent planning play physx game nvidias new series gpus remember physx gpuaccelerated technology let game realistically simulate destructible cloth shattering glass moving liquid smoke fog particle effect ever got deployed dozen game physx turned,1,Good News,0.5055038540316994
"{'id': 'the-verge', 'name': 'The Verge'}",Umar Shakir,AMD is launching its latest Ryzen 9 X3D gaming processors on March 12th,"AMD is announcing that its latest gaming-oriented Ryzen 9 9950X3D and 9900X3D processors will be available next week. The new chips improve on the 9800X3D, which is widely considered as the best gaming CPU. The new ones feature 16 Zen 5 cores and second-gener…",https://www.theverge.com/news/625984/amd-ryzen-9-x3d-9950-9900-16-zen-5-cores-launch,"https://platform.theverge.com/wp-content/uploads/sites/2/2025/03/acastro_STK081_amd_02.jpg.webp?quality=90&strip=all&crop=0,10.654292878952,100,78.691414242097",2025-03-07T17:15:01Z,"AMD is announcing that its latest gaming-oriented Ryzen 9 9950X3D and 9900X3D processors will be available next week. The new chips improve on the 9800X3D, which is widely considered as the best gami… [+957 chars]","AMD is launching its latest Ryzen 9 X3D gaming processors on March 12th AMD is announcing that its latest gaming-oriented Ryzen 9 9950X3D and 9900X3D processors will be available next week. The new chips improve on the 9800X3D, which is widely considered as the best gaming CPU. The new ones feature 16 Zen 5 cores and second-gener…",amd launching latest ryzen xd gaming processor march th amd announcing latest gamingoriented ryzen xd xd processor available next week new chip improve xd widely considered best gaming cpu new one feature zen core secondgener,1,Good News,0.6887289873116024
"{'id': 'the-verge', 'name': 'The Verge'}",Andrew Liszewski,LG’s new air conditioner directs cool air towards people it detects.,"The Artcool AI Air doesn’t look as artsy as LG’s previous Artcool air conditioners, but it does offer improved energy efficiency by detecting the room’s layout and the position of its occupants so it can direct airflow right to them. The company hasn’t announ…",https://www.theverge.com/news/626065/lg-artcool-ai-air-conditioner-room-occupant-sensing,https://platform.theverge.com/wp-content/uploads/sites/2/2025/03/lg_artcool_1.jpg?quality=90&strip=all&crop=0%2C10.723150329831%2C100%2C78.553699340338&w=1200,2025-03-07T18:50:13Z,"The Artcool AI Air doesn’t look as artsy as LG’s previous Artcool air conditioners, but it does offer improved energy efficiency by detecting the room’s layout and the position of its occupants so it… [+246 chars]","LG’s new air conditioner directs cool air towards people it detects. The Artcool AI Air doesn’t look as artsy as LG’s previous Artcool air conditioners, but it does offer improved energy efficiency by detecting the room’s layout and the position of its occupants so it can direct airflow right to them. The company hasn’t announ…",lgs new air conditioner directs cool air towards people detects artcool ai air doesnt look artsy lgs previous artcool air conditioner offer improved energy efficiency detecting room layout position occupant direct airflow right company hasnt announ,0,Bad News,0.6559221596924742
"{'id': 'the-verge', 'name': 'The Verge'}",Umar Shakir,FCC chair says we’re too dependent on GPS and wants to explore ‘alternatives’,"The Federal Communications Commission (FCC) plans to vote on an inquiry to explore alternatives to GPS, FCC chair Brendan Carr says in a blog post. Carr says that while GPS has been “indispensable,” the technology “isn’t infallible” and that “disruptions to G…",https://www.theverge.com/news/625671/fcc-vote-gps-911-technologies-inquiry,https://platform.theverge.com/wp-content/uploads/sites/2/2025/02/Image-Cath-Virginia-_-The-Verge-Getty-Images.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-03-06T22:46:31Z,"FCC chair Brendan Carr says relying heavily on GPS leaves us exposed.
FCC chair Brendan Carr says relying heavily on GPS leaves us exposed.
The Federal Communications Commission (FCC) plans to vote… [+1179 chars]","FCC chair says we’re too dependent on GPS and wants to explore ‘alternatives’ The Federal Communications Commission (FCC) plans to vote on an inquiry to explore alternatives to GPS, FCC chair Brendan Carr says in a blog post. Carr says that while GPS has been “indispensable,” the technology “isn’t infallible” and that “disruptions to G…",fcc chair say dependent gps want explore alternative federal communication commission fcc plan vote inquiry explore alternative gps fcc chair brendan carr say blog post carr say gps indispensable technology isnt infallible disruption,0,Bad News,0.7186166869227563
"{'id': 'the-verge', 'name': 'The Verge'}",Jay Peters,Here’s a new trailer for the ambitious survival game from PUBG’s creator,"PlayerUnknown Productions, the studio from PUBG creator Brendan Greene (aka PlayerUnknown), has shared a gameplay trailer for Prologue: Go Wayback!, a single-player survival game that’s launching in early access on Steam this year. The studio previously share…",https://www.theverge.com/news/620988/playerunknown-productions-prologue-go-wayback-trailer,https://platform.theverge.com/wp-content/uploads/sites/2/2025/02/Screenshot-2025-29-01-73.png?quality=90&strip=all&crop=0%2C3.4613147178592%2C100%2C93.077370564282&w=1200,2025-02-27T18:44:02Z,"The game looks like it will feature gorgeous wooded areas.
The game looks like it will feature gorgeous wooded areas.
PlayerUnknown Productions, the studio from PUBG creator Brendan Greene (aka Pla… [+893 chars]","Here’s a new trailer for the ambitious survival game from PUBG’s creator PlayerUnknown Productions, the studio from PUBG creator Brendan Greene (aka PlayerUnknown), has shared a gameplay trailer for Prologue: Go Wayback!, a single-player survival game that’s launching in early access on Steam this year. The studio previously share…",here new trailer ambitious survival game pubgs creator playerunknown production studio pubg creator brendan greene aka playerunknown shared gameplay trailer prologue go wayback singleplayer survival game thats launching early access steam year studio previously share,0,Bad News,0.5896893980501521
"{'id': 'the-verge', 'name': 'The Verge'}","Sean Hollister, Jay Peters",Hear what Horizon Zero Dawn actor Ashly Burch thinks about AI taking her job,"Ashly Burch, the award-winning voice and performance actor behind Horizon Zero Dawn’s Aloy — one of the most prominent characters on PlayStation today — has some news and some very strong thoughts about the leaked Sony experiment that saw her character voiced…",https://www.theverge.com/news/630176/ashly-burch-sony-ai-horizon-aloy-tech-demo-sag-aftra-strike,https://platform.theverge.com/wp-content/uploads/sites/2/2025/03/gettyimages-2196456912.jpg?quality=90&strip=all&crop=0%2C12.762431762156%2C100%2C74.475136475688&w=1200,2025-03-14T22:07:13Z,"Ashly Burch, the award-winning voice and performance actor behind Horizon Zero Dawn’s Aloy — one of the most prominent characters on PlayStation today — has some news and some very strong thoughts ab… [+3400 chars]","Hear what Horizon Zero Dawn actor Ashly Burch thinks about AI taking her job Ashly Burch, the award-winning voice and performance actor behind Horizon Zero Dawn’s Aloy — one of the most prominent characters on PlayStation today — has some news and some very strong thoughts about the leaked Sony experiment that saw her character voiced…",hear horizon zero dawn actor ashly burch think ai taking job ashly burch awardwinning voice performance actor behind horizon zero dawn aloy one prominent character playstation today news strong thought leaked sony experiment saw character voiced,1,Good News,0.5408991064940242
"{'id': 'the-verge', 'name': 'The Verge'}",Khee Hoon Chan,Lost Records: Bloom & Rage blends its teen drama with a heavy dose of ’90s nostalgia,"The fuzz of the cathode-ray tube (CRT) monitor, alongside static grains and flickering scanlines, is a touchstone for â90s-era nostalgia. Itâs shorthand for those halcyon days when technology was predominantly analog and millennial kids spent their summer…",https://www.theverge.com/games-review/617336/lost-records-bloom-and-rage-review,https://platform.theverge.com/wp-content/uploads/sites/2/2025/02/BR_Screenshot-3.jpg?quality=90&strip=all&crop=0%2C3.4613147178592%2C100%2C93.077370564282&w=1200,2025-02-21T22:12:06Z,"Lost Records: Bloom &amp; Rage blends its teen drama with a heavy dose of 90s nostalgia
The latest from Life is Strange studio Dont Nod is a time-spanning adventure about connecting with old friends… [+7476 chars]","Lost Records: Bloom & Rage blends its teen drama with a heavy dose of ’90s nostalgia The fuzz of the cathode-ray tube (CRT) monitor, alongside static grains and flickering scanlines, is a touchstone for â90s-era nostalgia. Itâs shorthand for those halcyon days when technology was predominantly analog and millennial kids spent their summer…",lost record bloom rage blend teen drama heavy dose nostalgia fuzz cathoderay tube crt monitor alongside static grain flickering scanlines touchstone asera nostalgia itas shorthand halcyon day technology predominantly analog millennial kid spent summer,0,Bad News,0.7041006308892868
